Metal,Model,High_n,k,Hits,Recall,Precision,Lift,Random_hits,Random_upper_tail
Ni,C,11,32,10,0.9090909090909091,0.3125,1.2215909090909092,8.186046511627907,0.14580293565769
Ni,C,11,33,11,1.0,0.3333333333333333,1.303030303030303,8.44186046511628,0.03364683130562077
Ni,C,11,34,11,1.0,0.3235294117647059,1.2647058823529413,8.69767441860465,0.04973879410396114
Ni,C,11,35,11,1.0,0.3142857142857143,1.2285714285714286,8.953488372093023,0.07253574140160998
Ni,C,11,36,11,1.0,0.3055555555555556,1.1944444444444444,9.209302325581396,0.10445146761831839
Ni,C,11,37,11,1.0,0.2972972972972973,1.1621621621621623,9.465116279069768,0.1486424731491454
Ni,C,11,38,11,1.0,0.2894736842105263,1.131578947368421,9.720930232558139,0.20920051776546392
Ni,C,11,39,11,1.0,0.28205128205128205,1.1025641025641026,9.976744186046512,0.291386435459039
Ni,C,11,40,11,1.0,0.275,1.075,10.232558139534884,0.40191232477108824
Ni,C,11,41,11,1.0,0.2682926829268293,1.048780487804878,10.488372093023257,0.549280177187154
Ni,C,11,42,11,1.0,0.2619047619047619,1.023809523809524,10.744186046511627,0.7441860465116279
Ni,C,11,43,11,1.0,0.2558139534883721,1.0,11.0,1.0
Mn,C,11,1,0,0.0,0.0,0.0,0.2558139534883721,1.0
Mn,C,11,2,0,0.0,0.0,0.0,0.5116279069767442,1.0
Mn,C,11,3,0,0.0,0.0,0.0,0.7674418604651163,1.0
Mn,C,11,4,0,0.0,0.0,0.0,1.0232558139534884,1.0
Mn,C,11,5,0,0.0,0.0,0.0,1.2790697674418605,1.0
Mn,C,11,6,0,0.0,0.0,0.0,1.5348837209302326,1.0
Mn,C,11,7,0,0.0,0.0,0.0,1.7906976744186047,1.0
Mn,C,11,8,1,0.09090909090909091,0.125,0.48863636363636365,2.046511627906977,0.92746425859839
Mn,C,11,9,2,0.18181818181818182,0.2222222222222222,0.8686868686868686,2.302325581395349,0.7450886802171991
Mn,C,11,10,2,0.18181818181818182,0.2,0.7818181818181819,2.558139534883721,0.8054335407109756
Mn,C,11,11,2,0.18181818181818182,0.18181818181818182,0.7107438016528925,2.813953488372093,0.85419706434231
Mn,C,11,12,3,0.2727272727272727,0.25,0.9772727272727272,3.0697674418604652,0.6614287599871911
Mn,C,11,13,3,0.2727272727272727,0.23076923076923078,0.9020979020979021,3.3255813953488373,0.728586749891555
Mn,C,11,14,4,0.36363636363636365,0.2857142857142857,1.1168831168831168,3.5813953488372094,0.5151735819732427
Mn,C,11,15,4,0.36363636363636365,0.26666666666666666,1.0424242424242425,3.8372093023255816,0.5901023431232459
Mn,C,11,16,5,0.45454545454545453,0.3125,1.2215909090909092,4.093023255813954,0.379365202388862
Mn,C,11,17,6,0.5454545454545454,0.35294117647058826,1.3796791443850267,4.348837209302325,0.20453142637218819
Mn,C,11,18,7,0.6363636363636364,0.3888888888888889,1.52020202020202,4.604651162790698,0.09021703436128607
Mn,C,11,19,8,0.7272727272727273,0.42105263157894735,1.645933014354067,4.8604651162790695,0.03142677561282212
Mn,C,11,20,8,0.7272727272727273,0.4,1.5636363636363637,5.116279069767442,0.046940871671444555
Mn,C,11,21,8,0.7272727272727273,0.38095238095238093,1.4891774891774894,5.372093023255814,0.0676955152281301
Mn,C,11,22,9,0.8181818181818182,0.4090909090909091,1.5991735537190084,5.627906976744186,0.020643794892235053
Mn,C,11,23,10,0.9090909090909091,0.43478260869565216,1.6996047430830041,5.883720930232558,0.0042130354098590065
Mn,C,11,24,11,1.0,0.4583333333333333,1.7916666666666667,6.1395348837209305,0.00043396072891251563
Mn,C,11,25,11,1.0,0.44,1.72,6.395348837209302,0.0007749298730580636
Mn,C,11,26,11,1.0,0.4230769230769231,1.653846153846154,6.651162790697675,0.0013432117799673101
Mn,C,11,27,11,1.0,0.4074074074074074,1.5925925925925926,6.906976744186046,0.002266669878694836
Mn,C,11,28,11,1.0,0.39285714285714285,1.5357142857142856,7.162790697674419,0.003733338623732672
Mn,C,11,29,11,1.0,0.3793103448275862,1.4827586206896552,7.4186046511627906,0.0060148233382359695
Mn,C,11,30,11,1.0,0.36666666666666664,1.4333333333333333,7.674418604651163,0.009497089481425216
Mn,C,11,31,11,1.0,0.3548387096774194,1.3870967741935485,7.930232558139535,0.014720488696209084
Mn,C,11,32,11,1.0,0.34375,1.34375,8.186046511627907,0.022431220870413847
Mn,C,11,33,11,1.0,0.3333333333333333,1.303030303030303,8.44186046511628,0.03364683130562077
Mn,C,11,34,11,1.0,0.3235294117647059,1.2647058823529413,8.69767441860465,0.04973879410396114
Mn,C,11,35,11,1.0,0.3142857142857143,1.2285714285714286,8.953488372093023,0.07253574140160998
Mn,C,11,36,11,1.0,0.3055555555555556,1.1944444444444444,9.209302325581396,0.10445146761831839
Mn,C,11,37,11,1.0,0.2972972972972973,1.1621621621621623,9.465116279069768,0.1486424731491454
Mn,C,11,38,11,1.0,0.2894736842105263,1.131578947368421,9.720930232558139,0.20920051776546392
Mn,C,11,39,11,1.0,0.28205128205128205,1.1025641025641026,9.976744186046512,0.291386435459039
Mn,C,11,40,11,1.0,0.275,1.075,10.232558139534884,0.40191232477108824
Mn,C,11,41,11,1.0,0.2682926829268293,1.048780487804878,10.488372093023257,0.549280177187154
Mn,C,11,42,11,1.0,0.2619047619047619,1.023809523809524,10.744186046511627,0.7441860465116279
Mn,C,11,43,11,1.0,0.2558139534883721,1.0,11.0,1.0
Pb,C,11,1,0,0.0,0.0,0.0,0.2558139534883721,1.0
Pb,C,11,2,1,0.09090909090909091,0.5,1.9545454545454546,0.5116279069767442,0.45071982281284606
Pb,C,11,3,2,0.18181818181818182,0.6666666666666666,2.606060606060606,0.7674418604651163,0.1559841179807147
Pb,C,11,4,2,0.18181818181818182,0.5,1.9545454545454546,1.0232558139534884,0.266510007292764
Pb,C,11,5,3,0.2727272727272727,0.6,2.3454545454545452,1.2790697674418605,0.09647017758191893
Pb,C,11,6,3,0.2727272727272727,0.5,1.9545454545454544,1.5348837209302326,0.16359116299409465
Pb,C,11,7,3,0.2727272727272727,0.42857142857142855,1.675324675324675,1.7906976744186047,0.24250367287057142
Pb,C,11,8,3,0.2727272727272727,0.375,1.4659090909090908,2.046511627906977,0.3284306280694017
Pb,C,11,9,3,0.2727272727272727,0.3333333333333333,1.3030303030303028,2.302325581395349,0.41681263913105576
Pb,C,11,10,4,0.36363636363636365,0.4,1.5636363636363637,2.558139534883721,0.21405390787196701
Pb,C,11,11,4,0.36363636363636365,0.36363636363636365,1.421487603305785,2.813953488372093,0.28427338190108864
Pb,C,11,12,4,0.36363636363636365,0.3333333333333333,1.303030303030303,3.0697674418604652,0.35970445751830915
Pb,C,11,13,5,0.45454545454545453,0.38461538461538464,1.5034965034965035,3.3255813953488373,0.1845097012460552
Pb,C,11,14,5,0.45454545454545453,0.35714285714285715,1.3961038961038958,3.5813953488372094,0.24355682280448152
Pb,C,11,15,5,0.45454545454545453,0.3333333333333333,1.303030303030303,3.8372093023255816,0.3091194888107342
Pb,C,11,16,6,0.5454545454545454,0.375,1.4659090909090908,4.093023255813954,0.1545789189388528
Pb,C,11,17,6,0.5454545454545454,0.35294117647058826,1.3796791443850267,4.348837209302325,0.20453142637218819
Pb,C,11,18,6,0.5454545454545454,0.3333333333333333,1.3030303030303028,4.604651162790698,0.26168862237763935
Pb,C,11,19,7,0.6363636363636364,0.3684210526315789,1.4401913875598085,4.8604651162790695,0.12451135196455672
Pb,C,11,20,7,0.6363636363636364,0.35,1.3681818181818182,5.116279069767442,0.16628007212238632
